CalledComponentName,Called Component Type,Status,Found in Columbus as Diff type,Application Code,Application Name,Application Owner
CPLQ600M,CONTROL_CARD,Missing,-,PL,Omega Lit,"Hutto, Amy"
CPOOLFRL,CONTROL_CARD,Missing,-,PO,Omega Reissues,"Hutto, Amy"
CPOPLEFT,CONTROL_CARD,Missing,-,PO,Omega Reissues,"Hutto, Amy"
CPOTOTAL,CONTROL_CARD,Missing,-,PO,Omega Reissues,"Hutto, Amy"
CPOLRQ2P,CONTROL_CARD,Missing,-,PO,Omega Reissues,"Hutto, Amy"
CPOLREQP,CONTROL_CARD,Missing,-,PO,Omega Reissues,"Hutto, Amy"
CPLCAP,COBOL,Missing,-,CP,Policy Remarks,"Hutto, Amy"
CPLCRP,COBOL,Missing,-,CP,Policy Remarks,"Hutto, Amy"
CPLCCR,COBOL,Missing,-,CP,Policy Remarks,"Hutto, Amy"
CPLCCX,COBOL,Missing,-,CP,Policy Remarks,"Hutto, Amy"
CPLCCE,COBOL,Missing,-,CP,Policy Remarks,"Hutto, Amy"
CPLCBR,COBOL,Missing,-,CP,Policy Remarks,"Hutto, Amy"
APMRORGX,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
DATAMAP,CONTROL_CARD,Missing,-,AT,Actuarial,"Hutto, Amy"
SPECOTH,CONTROL_CARD,Missing,-,PE,Policy Exceptions,"Hutto, Amy"
SPECHIP,CONTROL_CARD,Missing,-,PE,Policy Exceptions,"Hutto, Amy"
SPECACC,CONTROL_CARD,Missing,-,PE,Policy Exceptions,"Hutto, Amy"
SPECDEN,CONTROL_CARD,Missing,-,PE,Policy Exceptions,"Hutto, Amy"
SPECCAN,CONTROL_CARD,Missing,-,PE,Policy Exceptions,"Hutto, Amy"
CPOADVSL,CONTROL_CARD,Missing,-,PO,Omega Reissues,"Hutto, Amy"
CPODENTL,CONTROL_CARD,Missing,-,PO,Omega Reissues,"Hutto, Amy"
