component_name,component_type,tloc,orphan,Inscope
EDW1H3,COBOL,389,No,Yes
EDW1I0,COBOL,1365,No,Yes
EDW1I1,COBOL,742,No,Yes
EDW1H1,COBOL,397,No,Yes
EDW1I2,COBOL,572,No,Yes
EDW430,COBOL,550,No,Yes
EDW450,COBOL,393,No,Yes
EDW470,COBOL,545,No,Yes
EDW410,COBOL,687,No,Yes
EDWA07,COBOL,1038,No,Yes
EQ11P01,COBOL,2030,Yes,Yes
EQ12P01,COBOL,1900,Yes,Yes
EDWA06,COBOL,1018,No,Yes
EQ22P01,COBOL,2105,Yes,Yes
EQ23P01,COBOL,1962,Yes,Yes
EQ21P01,COBOL,2148,Yes,Yes
EQ34P01,COBOL,1515,Yes,Yes
EQ51P01,COBOL,1323,Yes,Yes
EQ24P01,COBOL,1441,Yes,Yes
EQ54P01,COBOL,3124,Yes,Yes
EQ57P01,COBOL,2684,Yes,Yes
EQ52P01,COBOL,3505,Yes,Yes
EQ71P02,COBOL,2942,Yes,Yes
EQ71P03,COBOL,2805,Yes,Yes
EQ71P01,COBOL,1394,Yes,Yes
EQ71P05,COBOL,3087,Yes,Yes
ET00P01,COBOL,1092,Yes,Yes
EQ71P04,COBOL,2966,Yes,Yes
ET05P01,COBOL,1318,Yes,Yes
ET06P01,COBOL,4103,Yes,Yes
ET07P01,COBOL,1330,Yes,Yes
ET08P01,COBOL,1366,Yes,Yes
ET04P01,COBOL,4027,Yes,Yes
ET12P01,COBOL,1299,Yes,Yes
ET21P01,COBOL,4606,Yes,Yes
ET11P01,COBOL,3725,Yes,Yes
ET23P01,COBOL,1330,Yes,Yes
ET31P01,COBOL,1629,Yes,Yes
ET22P01,COBOL,1514,Yes,Yes
ET33P01,COBOL,1988,Yes,Yes
ET32P01,COBOL,3106,Yes,Yes
ET94P01,COBOL,2199,Yes,Yes
FA01P01,COBOL,1107,Yes,Yes
ET34P01,COBOL,3738,Yes,Yes
FA11P01,COBOL,870,Yes,Yes
FA12P01,COBOL,1326,Yes,Yes
FA02P01,COBOL,939,Yes,Yes
FA14P01,COBOL,1506,Yes,Yes
FA15P01,COBOL,708,Yes,Yes
FA13P01,COBOL,611,Yes,Yes
FA31P01,COBOL,1034,Yes,Yes
FA21P01,COBOL,1733,Yes,Yes
FA33P01,COBOL,1365,Yes,Yes
FA32P01,COBOL,1426,Yes,Yes
FA35P01,COBOL,2778,Yes,Yes
