CalledComponentName,Called Component Type,Status,Found in Newyork as Diff type,Application Code,Application Name,Application Owner
NBCKWX01,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCKWX04,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCKWX05,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCKWX06,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCKWX07,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCKWX08,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCKWX09,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NC313RE2,COBOL,Missing,,NC,New Business Scorecard,"Hutto, Amy"
NBCO0800,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCO0805,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCO0810,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCO0815,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCO0820,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCO0825,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCO0830,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCO0835,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCO0840,COBOL,Missing,,NB,Batch Trac,"Hutto, Amy"
NBCO0845,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCO0855,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCO0895,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
POCO6940,COBOL,Found in Columbus,,PO,Omega Reissues,"Hutto, Amy"
CPCO0A00,COBOL,Found in Columbus,,CP,Policy Remarks,"Hutto, Amy"
CPCO0A05,COBOL,Found in Columbus,,CP,Policy Remarks,"Hutto, Amy"
CPCO0A10,COBOL,Found in Columbus,,CP,Policy Remarks,"Hutto, Amy"
CPCO0A15,COBOL,Found in Columbus,,CP,Policy Remarks,"Hutto, Amy"
CPCO0A20,COBOL,Found in Columbus,,CP,Policy Remarks,"Hutto, Amy"
CPCO0A30,COBOL,Found in Columbus,,CP,Policy Remarks,"Hutto, Amy"
CPCO0110,COBOL,Found in Columbus,,CP,Policy Remarks,"Hutto, Amy"
CPCO0120,COBOL,Found in Columbus,,CP,Policy Remarks,"Hutto, Amy"
CPCO0130,COBOL,Found in Columbus,,CP,Policy Remarks,"Hutto, Amy"
CPCO0140,COBOL,Found in Columbus,,CP,Policy Remarks,"Hutto, Amy"
CPCO0150,COBOL,Found in Columbus,,CP,Policy Remarks,"Hutto, Amy"
CPCO0160,COBOL,Found in Columbus,,CP,Policy Remarks,"Hutto, Amy"
CPCO0E20,COBOL,Found in Columbus,,CP,Policy Remarks,"Hutto, Amy"
CPCO0E30,COBOL,Found in Columbus,,CP,Policy Remarks,"Hutto, Amy"
CPCO0E40,COBOL,Found in Columbus,,CP,Policy Remarks,"Hutto, Amy"
PMCOP130,COBOL,Found in Columbus,,PM,Policy Master Record Inquiry,"Hutto, Amy"
PMCOP140,COBOL,Found in Columbus,,PM,Policy Master Record Inquiry,"Hutto, Amy"
PMCOP135,COBOL,Found in Columbus,,PM,Policy Master Record Inquiry,"Hutto, Amy"
PMCOP145,COBOL,Found in Columbus,,PM,Policy Master Record Inquiry,"Hutto, Amy"
PMCOP150,COBOL,Found in Columbus,,PM,Policy Master Record Inquiry,"Hutto, Amy"
PMCOP160,COBOL,Found in Columbus,,PM,Policy Master Record Inquiry,"Hutto, Amy"
PCAOC230,COBOL,Found in Columbus,,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
POLICYAS,COBOL,Missing,,PO,Omega Reissues,"Hutto, Amy"
CPCO0030,COBOL,Found in Columbus,,CP,Policy Remarks,"Hutto, Amy"
CPCO0040,COBOL,Found in Columbus,,CP,Policy Remarks,"Hutto, Amy"
CPCO0045,COBOL,Found in Columbus,,CP,Policy Remarks,"Hutto, Amy"
CPCO0052,COBOL,Found in Columbus,,CP,Policy Remarks,"Hutto, Amy"
CPCO0060,COBOL,Found in Columbus,,CP,Policy Remarks,"Hutto, Amy"
CPCO007A,COBOL,Missing,,CP,Policy Remarks,"Hutto, Amy"
CPCO007W,COBOL,Found in Columbus,,CP,Policy Remarks,"Hutto, Amy"
CPCO0070,COBOL,Found in Columbus,,CP,Policy Remarks,"Hutto, Amy"
CPCO0075,COBOL,Found in Columbus,,CP,Policy Remarks,"Hutto, Amy"
CPCO0080,COBOL,Found in Columbus,,CP,Policy Remarks,"Hutto, Amy"
CPCO0090,COBOL,Found in Columbus,,CP,Policy Remarks,"Hutto, Amy"
CPCO010W,COBOL,Found in Columbus,,CP,Policy Remarks,"Hutto, Amy"
CPCO0100,COBOL,Found in Columbus,,CP,Policy Remarks,"Hutto, Amy"
